CI,RMSE,MSE,R2,repeat,fold,n_test
0.6276497559869153,0.758521873245633,0.5753554321920642,-0.10252668832386913,0,0,5306
0.7132684130704247,0.7794565624801031,0.6075525327932989,-0.006792076403084657,0,1,5306
0.6643065006015659,1.0711210704445748,1.1473003475503318,-0.09761647706289112,0,2,5306
0.7379536135328314,0.7575260610191461,0.5738457331231831,0.14874925666074912,0,3,4927
0.6885555540528893,0.7931860502666744,0.6291441103376474,-0.16156231117312636,0,4,4927
0.681880436857852,0.7328579394029647,0.5370807593459596,0.021512029386607567,1,0,5306
0.6394113386344116,0.8423211465394614,0.7095049139075529,-0.09689411944679138,1,1,5306
0.7105012126939052,0.7778782363202091,0.6050945505406392,0.20721714012307235,1,2,5306
0.726502744875841,0.8534185632893825,0.7283232441669137,0.21911225106336307,1,3,4927
0.7374266600319713,0.6675580390175252,0.4456337354569237,0.11879872617912857,1,4,4927
0.7412756527558056,0.9090519525188737,0.8263754523783767,0.11853331843164217,2,0,5306
0.6462145435123776,0.8134196329684826,0.661651499298581,-0.13943571213677064,2,1,5306
0.7088240097681617,0.65650822243888,0.43100304612985796,0.08855297371459536,2,2,5306
0.7151081077169226,0.8706291323883502,0.7579950861632913,0.2520979162315917,2,3,4927
0.7193138125555668,0.549107904846036,0.30151949116440335,0.13363325667685644,2,4,4927
0.6537645676828149,0.9108581805572613,0.8296626250880845,-0.28209375382260427,3,0,5306
0.6913267184682969,0.8638103757744545,0.7461683652956043,0.1550913285834593,3,1,5306
0.7630390712105072,0.8934649980934725,0.7982797028181687,0.1110980046172646,3,2,5306
0.7049091667397653,0.7088729263404147,0.5025008256984229,0.031893775134483215,3,3,4927
0.6445779878460499,0.6645720070187153,0.4416559525128835,-0.027117358648303114,3,4,4927
0.5939157054111122,0.7151968708146836,0.5115065640231152,-0.22956719757743382,4,0,5306
0.7104656472198753,0.7277326423563653,0.5295947987509774,0.20826536142153285,4,1,5306
0.7111791704326196,1.0341465629089663,1.0694591135764286,0.02110328693934338,4,2,5306
0.6320592647667705,0.9084840777715004,0.8253433195643336,-0.15114301051127765,4,3,4927
0.6661796774338982,0.6816307662075823,0.4646205014407358,-0.03244978194859094,4,4,4927
0.7612450416192413,0.8139962003537912,0.6625898141904093,0.31332505535266164,5,0,5306
0.6510789790924315,0.6761970416740078,0.45724243916867985,-0.06556682668127989,5,1,5306
0.5893145608771282,0.8398008703131351,0.7052655017786992,-0.07708105873301463,5,2,5306
0.6601635870663976,0.7045867963965302,0.49644255365632556,0.13190394574336162,5,3,4927
0.6923787709139986,0.8866426255308403,0.7861351454082219,0.019097376603123162,5,4,4927
0.698206573900149,0.8756778912235906,0.7668117691777946,0.16429203585328755,6,0,5306
0.6596885213025377,0.8032834979016478,0.6452643780011065,0.03764041260123441,6,1,5306
0.6960284745826664,0.6910180737183994,0.47750597820548724,0.057279031683506676,6,2,5306
0.7610545237603185,0.6915658024976196,0.4782632591841766,0.2918259560939691,6,3,4927
0.6715213997186119,0.8164201404630307,0.6665418457536748,-0.010637611180716933,6,4,4927
0.7522852028702111,1.0760058879073449,1.1577886708112735,-0.07615707020974538,7,0,5306
0.6133048327693095,0.7816487638311689,0.6109747899987944,-0.09774315446543591,7,1,5306
0.6751522521266392,0.7987361264663805,0.6379793997225178,0.018735242995489343,7,2,5306
0.6943908000771848,0.6407471896699276,0.41055696106991013,0.07864598941494194,7,3,4927
0.6279833121719465,0.7550807633259079,0.5701469591448358,0.043792098876114016,7,4,4927
0.6779351309158453,0.9207324729958046,0.8477482868289701,-0.058414246975368345,8,0,5306
0.7157226444817733,0.794210784183187,0.6307707697128728,0.19652834637651595,8,1,5306
0.7264888772510657,0.7632889576586301,0.5826100328835981,0.15803433199019523,8,2,5306
0.6655277599894194,0.8029995422215197,0.6448082648079702,-0.12425266068396423,8,3,4927
0.6804793248687692,0.6911431247398483,0.47767881887516156,0.16462938498721003,8,4,4927
0.6286069249150332,0.7585430504561919,0.5753875593953848,-0.08246787717151793,9,0,5306
0.7324934385792738,0.8030319792859187,0.6448603597558602,0.1677629730410466,9,1,5306
0.652034733727964,0.7331247980054888,0.5374719694505887,0.01687332635384864,9,2,5306
0.744081044391891,0.8857335633470254,0.7845239452394189,0.19757680510674858,9,3,4927
0.6273738336542378,0.8678450911492337,0.7531551022318218,-0.26300578991176615,9,4,4927
