CI,RMSE,MSE,R2,repeat,fold,n_test
0.7600499643541282,0.6980318436623933,0.4872484547667199,0.31715284289151335,0,0,5306
0.5554883892843466,0.944885616227838,0.8928088277542611,-0.08545932802160738,0,1,5306
0.706521928278766,0.5723872098745472,0.32762711802796884,0.028804623627000425,0,2,5306
0.7750063209670284,0.7608285971892933,0.5788601543010279,0.3082688164373939,0,3,4927
0.6391403578080027,0.8085489002310029,0.6537513240647643,0.05807145901662525,0,4,4927
0.6951280580140394,0.8391928859004941,0.7042446997459997,0.2144678083482643,1,0,5306
0.6111515451079188,0.8026215132810492,0.6442012935815615,-0.0352150343382196,1,1,5306
0.6131226625785798,0.8061040978258192,0.6498038165315778,-0.08811363899428426,1,2,5306
0.6782528655208845,0.7697765816409389,0.592555985642809,0.015874605862235547,1,3,4927
0.636508558050072,0.7954773159450832,0.6327841601831937,0.10684726549534351,1,4,4927
0.6436550218891841,0.722633013341836,0.5221984719715023,-0.058443779231127646,2,0,5306
0.7064297836201735,0.9235945933929339,0.853026972944659,0.17963182174663217,2,1,5306
0.6231104562650642,0.918163204832169,0.8430236707076795,-0.048868011698709246,2,2,5306
0.760277256685002,0.6037654986496924,0.36453277735971173,0.39306283844201273,2,3,4927
0.6397207105728104,0.6780772682698774,0.4597887817443393,-0.21218213510112505,2,4,4927
0.6572748229385337,0.7045188709837588,0.4963468395722301,-0.061540197629954996,3,0,5306
0.7282816715547588,0.9179735717841094,0.8426754784940755,0.08392402384514586,3,1,5306
0.6705020691490617,0.9078948250568845,0.8242730133650708,0.1960676448725257,3,2,5306
0.6020927758337586,0.7346573114730044,0.539721365300743,-0.07721711454244029,3,3,4927
0.5997024200574491,0.6713407338430883,0.45069838091697645,-0.23065883252809383,3,4,4927
0.6528040186712996,0.785927491972008,0.6176820226374107,0.006496822484099551,4,0,5306
0.6657528588736504,1.013636162061002,1.0274582690377576,-0.0212045896386297,4,1,5306
0.7589066603882774,0.7392880081039805,0.5465467589263512,0.2657253833935159,4,2,5306
0.7145685399713122,0.6427982385687726,0.41318957550711677,0.10346825576713548,4,3,4927
0.6065889499090356,0.7883454024596198,0.6214884735792199,-0.1425215427380664,4,4,4927
0.7521964106928714,0.7605467108522921,0.57843129938824,0.27271264666888473,5,0,5306
0.6719373948006919,0.6979649085611432,0.487155013582765,-0.08180989512580839,5,1,5306
0.7246087408625453,0.7232346083337249,0.5230682986916365,0.11602838102918123,5,2,5306
0.7443806534089459,0.9032191550909296,0.8158048421231728,0.14001428690392514,5,3,4927
0.6221283629943074,0.8120713045948008,0.6594598037463018,-0.08360265551571144,5,4,4927
0.6294811671048703,0.8199321095664529,0.6722886642980938,-0.2734350965194383,6,0,5306
0.5278495391151381,0.7686855718617231,0.5908775083883844,-0.07185606128543665,6,1,5306
0.7570120132497008,0.7775285306907472,0.6045506160381122,0.26188668933338033,6,2,5306
0.6519676739723432,0.9223057473676529,0.8506478916274047,0.05056834205430327,6,3,4927
0.7054994283182809,0.7585164357824872,0.575347183352168,0.057050381630625036,6,4,4927
0.6617970397055863,0.6439682432007734,0.4146950982510904,-0.18974505420946386,7,0,5306
0.7310982783696539,0.6890789400998878,0.4748297856891847,0.14661105981386768,7,1,5306
0.5912762215231834,1.2173367651674383,1.481908799828323,-0.2542321172609985,7,2,5306
0.6556259357651202,0.8650629221460769,0.7483338592719095,-0.04888059800111977,7,3,4927
0.6992370057408435,0.7014407005395489,0.49201905637341303,0.04566675056017966,7,4,4927
0.6240772918833603,0.8164111906073116,0.6665272321488481,-0.09295013815132824,8,0,5306
0.6950114628954089,0.6614611784381401,0.4375308905807731,0.07718476442225464,8,1,5306
0.6987896591402961,0.9379171385035735,0.8796885586987314,0.11007571610984923,8,2,5306
0.6997060477293766,0.8241190207872087,0.6791721604232677,0.19753281251443444,8,3,4927
0.6948591982114646,0.716063590494639,0.5127470656320741,-0.049759190604907744,8,4,4927
0.6499946959597958,0.8499784429175486,0.7224633534245406,-0.057606182221217495,9,0,5306
0.6905394912822014,0.8903146206933887,0.7926601238204126,0.14679126899391304,9,1,5306
0.6970388041741952,0.7117337500485209,0.5065649309581304,-0.06450885909761594,9,2,5306
0.6837875139338193,0.7805053565073676,0.6091886115366931,0.22005112329711385,9,3,4927
0.6779964829751032,0.7592455978109895,0.5764538777953669,-0.09600224464945972,9,4,4927
