CI,RMSE,MSE,R2,repeat,fold,n_test
0.6920373737110527,0.7832094877039867,0.6134171016295412,0.14033565448657526,0,0,5306
0.6140463732127683,0.9109486709304608,0.8298274810699731,-0.008887851435984251,0,1,5306
0.6706501742368856,0.6792469706012333,0.46137644707095266,-0.3676727215372293,0,2,5306
0.7649192591657407,0.8279481416427149,0.6854981252496251,0.18083767558428276,0,3,4927
0.6085487894350697,0.8869284293225604,0.7866420387405841,-0.13339822123817524,0,4,4927
0.7321608941014924,0.8456513424565835,0.7151261929986218,0.2023303180039865,1,0,5306
0.557111644464864,0.80690707892958,0.6510990340266675,-0.04629952715573116,1,1,5306
0.6232558620471814,0.8257180485948634,0.6818102957753092,-0.14170933313345402,1,2,5306
0.5672708422946126,0.8066895600698764,0.6507480463257307,-0.08077159473793882,1,3,4927
0.6149794212694693,0.8764397209716879,0.7681465844969302,-0.08421206726354291,1,4,4927
0.649484122952917,0.7275729575747693,0.529362408594097,-0.07296435820632863,2,0,5306
0.6267297116791158,0.9748877940215631,0.9504062109322298,0.08598082289041276,2,1,5306
0.6248890022738244,0.8849559272240426,0.783146993128965,0.025628985172553964,2,2,5306
0.6731455279641347,0.7894760627783622,0.6232724537000245,-0.03773168675224681,2,3,4927
0.6109963043937978,0.7701492422621385,0.5931298553569462,-0.5637210889120527,2,4,4927
0.7512536540385709,0.6460382689162899,0.4173654449043565,0.10737782223108006,3,0,5306
0.6675909873551154,0.9105976316431733,0.8291880467541564,0.09858626632436052,3,1,5306
0.6009308901329854,0.9941286513704436,0.9882917754756171,0.03609638829782613,3,2,5306
0.5407336058376604,0.808603137291471,0.6538390336376096,-0.30498187115097664,3,3,4927
0.588136422349752,0.7001928289716781,0.4902699977433616,-0.3387114944119163,3,4,4927
0.6656690764034469,0.7586435028080789,0.5755399643529115,0.07427970636007641,4,0,5306
0.7023083119671203,0.9078947387198282,0.824272856595145,0.18074412398488082,4,1,5306
0.7092858424884542,0.8032332238885515,0.6451836119583959,0.13320874824659634,4,2,5306
0.7009482276422185,0.7033002049301253,0.4946311782547563,-0.07324235479182728,4,3,4927
0.617168677766474,0.748167313528055,0.559754329031787,-0.02903176285245901,4,4,4927
0.7717478191581942,0.8072861553891266,0.6517109366829571,0.1805749053027017,5,0,5306
0.6236456477672897,0.715065692749359,0.5113189449471207,-0.13546998139454947,5,1,5306
0.6398982361069834,0.7625353038843153,0.5814600896699451,0.017347795463565463,5,2,5306
0.6651903882051029,0.9378030373623146,0.879474536885983,0.0728964849174818,5,3,4927
0.575650418008698,0.8336486507570897,0.694970072909116,-0.1419519616361289,5,4,4927
0.6228169240026509,0.712630343034092,0.5078420058128876,0.03805631712658131,6,0,5306
0.6508179485186583,0.7708444635694439,0.5942011870156637,-0.07788523828378069,6,1,5306
0.7613616356653959,0.7826989172157834,0.6126175950107599,0.2520374816762938,6,2,5306
0.659593818548664,0.8730318515181386,0.7621846137651891,0.1493046551571905,6,3,4927
0.5621179740942557,0.8702044855901891,0.7572558467412857,-0.24108387483945193,6,4,4927
0.6835780163186955,0.705669646489355,0.4979696499764113,-0.4286566942904426,7,0,5306
0.6688748950585898,0.7153164429601883,0.5116776135692163,0.08038621518441813,7,1,5306
0.5697165792523631,1.1009701249542576,1.2121352160417938,-0.02590585776860288,7,2,5306
0.593454801329417,0.9064218650860724,0.821600597506114,-0.15157281118983357,7,3,4927
0.7971690854963055,0.6363557687589366,0.40494866443277727,0.21455079883907835,7,4,4927
0.5684708876397322,0.8228498510539651,0.6770818773795326,-0.11025730942147183,8,0,5306
0.587955510725995,0.8136937469716168,0.6620975138607095,-0.3964583675858513,8,1,5306
0.7112237728725669,0.9204968084438561,0.8473143743553251,0.14282659428536104,8,2,5306
0.6582395239157407,0.8547049511390323,0.7305205535015756,0.13686277481769882,8,3,4927
0.6260126302937307,0.7815239875114304,0.6107797430557663,-0.2504638089302551,8,4,4927
0.6662444883900245,0.7997042712132665,0.6395269213967417,0.06380355133578208,9,0,5306
0.6430422370784966,0.9248846268418939,0.8554115729684693,0.07924645036678546,9,1,5306
0.6641178956908156,0.7045239491459703,0.49635399492023374,-0.0430513297509616,9,2,5306
0.7062927865260544,0.8252906661915239,0.6811046837028493,0.1279764215698661,9,3,4927
0.5971537778428149,0.7416988788942029,0.5501172269529175,-0.045928805035752474,9,4,4927
