CI,RMSE,MSE,R2,repeat,fold,n_test
0.6843911973972886,0.7173774166509068,0.5146303579207288,0.013837929595036491,0,0,5306
0.6629477712247441,0.7972045761829091,0.6355351362869717,-0.05316282124227034,0,1,5306
0.6376752291388863,0.9920524524382581,0.9841680683887625,0.058451354635126185,0,2,5306
0.6101682000665417,0.929908434438203,0.8647296964393097,-0.2827520610377594,0,3,4927
0.6282382843490371,0.8558241655483169,0.7324350023364729,-0.352263940993518,0,4,4927
0.6203414489228728,0.8114394107611058,0.6584339173363306,-0.19957689108435805,1,0,5306
0.5787983643793013,0.8422443971315898,0.7093756244995553,-0.096694238109031,1,1,5306
0.7318068921845919,0.7587122831809792,0.5756443286496944,0.24580223581407246,1,2,5306
0.7323243118185173,0.8502103867133949,0.7228577016753405,0.2249722523844031,1,3,4927
0.6564577315583789,0.705489190807701,0.4977149983465048,0.015812637943592,1,4,4927
0.6603121810547533,0.9376589154208697,0.8792042416682416,0.06218263975091898,2,0,5306
0.632226984939408,0.7994849759560251,0.639176226779406,-0.1007308528936457,2,1,5306
0.6100277257137524,0.6957405231992976,0.48405487562163235,-0.023636331357530294,2,2,5306
0.7294857073589356,0.8964410200319064,0.8036065023958447,0.2070938339272822,2,3,4927
0.6825419140230177,0.6642599212914087,0.4412412430340684,-0.2678342526747146,2,4,4927
0.6829240569005932,0.7954936220378993,0.6328101027029762,0.022106268864179435,3,0,5306
0.6979671669078997,0.8449865848592073,0.7140023285920263,0.19151389030006216,3,1,5306
0.7210392539289644,0.8726204915493659,0.7614665222718571,0.15209029031421795,3,2,5306
0.6299293907141905,0.7759601149657608,0.6021141000176767,-0.1600188069267896,3,3,4927
0.5855267473206988,0.7139227145890361,0.5096856424061783,-0.1853275559643368,3,4,4927
0.6434236371698048,0.6934486508217794,0.4808710313265462,-0.15592504177059263,4,0,5306
0.659010877873128,0.8281945174575677,0.6859061587467734,-0.02541729256950931,4,1,5306
0.7132292583802982,0.9364966810922292,0.8770260336967605,0.19724102515394604,4,2,5306
0.6946589994300092,0.7949928296516211,0.6320135991974914,0.11850254310132768,4,3,4927
0.6112237295133509,0.7178392725642321,0.5152932212355459,-0.14505143930263453,4,4,4927
0.7059927346843521,0.9413987099309347,0.886231531059628,0.0815539652104954,5,0,5306
0.628624583488221,0.7824410153361143,0.6122139424802095,-0.4267154840760843,5,1,5306
0.655490245152675,0.8559230967098405,0.7326043474813628,-0.11883292778048604,5,2,5306
0.6317804404839242,0.7417926280531724,0.5502563030340321,0.03780342362759914,5,3,4927
0.6588692665917495,0.9435677533005462,0.8903201050686403,-0.11089973756524873,5,4,4927
0.7629760036532496,0.8642353324993278,0.7469027099402237,0.1859898762259603,6,0,5306
0.5523591170001574,0.8686838518014284,0.7546116343805659,-0.12544216892683369,6,1,5306
0.6871639053368771,0.7816998831045423,0.611054707245655,-0.2063808865259471,6,2,5306
0.7769908405697641,0.7391327235563331,0.5463171830318028,0.19105713990462592,6,3,4927
0.5770328515254923,0.8535382428999503,0.7285275320927345,-0.10462280711131933,6,4,4927
0.6780483947493279,1.0428102336755551,1.087453183458466,-0.010780690297223172,7,0,5306
0.6859349731193745,0.7679889845348531,0.5898070803668749,-0.05971096602735404,7,1,5306
0.6121652878268419,0.8408812298766782,0.7070812427589149,-0.08754907158452063,7,2,5306
0.5801742599224261,0.8097434096566665,0.6556843894824039,-0.47145828523598765,7,3,4927
0.6655549822750122,0.7775836533324599,0.6046363379298552,-0.014050911544489342,7,4,4927
0.6710150646593752,0.8843407220996926,0.7820585127638058,0.023599475530908687,8,0,5306
0.6850337170579923,0.7952372532373891,0.6324022889365474,0.1944501279309132,8,1,5306
0.7234657514880589,0.7236991399732478,0.5237404451980184,0.24311040161403208,8,2,5306
0.6081092899040358,0.7645073985297421,0.584471562406714,-0.019052864227090183,8,3,4927
0.6285552020342177,0.7699699838319138,0.5928537760021176,-0.0367900017793652,8,4,4927
0.693906275558202,0.7317130252681252,0.535403951347032,-0.007247322574824855,9,0,5306
0.7037980920178155,0.8120457357496046,0.6594182769491167,0.14897497104908453,9,1,5306
0.5095611958538708,0.8149039369162576,0.6640684264016159,-0.2146928960574832,9,2,5306
0.7177631591397537,0.9063003464563204,0.8213803179868464,0.15987953843741598,9,3,4927
0.6428060244956859,0.7749266448636946,0.6005113049197025,-0.007029299507557374,9,4,4927
