CI,RMSE,MSE,R2,repeat,fold,alpha
0.6420503024386854,0.8072278875663603,0.6516168624648485,0.08680116333851773,0,0,10.0
0.6413665867710492,0.9023818534893703,0.8142930095069114,0.009998652079472703,0,1,0.1
0.6904517397818112,0.650426641652272,0.4230548161710531,-0.25407470508158947,0,2,100.0
0.7906157248059116,0.7918039520503746,0.6269534984825919,0.2507978268641563,0,3,0.1
0.5400557593543653,1.0573608787375701,1.1180120278846863,-0.6108379432099809,0,4,0.1
0.6082339260430079,0.9496290929654622,0.9017954142064064,-0.005885210635647509,1,0,0.1
0.6249102936850928,0.808409820871447,0.653526438481405,-0.05020030415043886,1,1,10.0
0.6249489543918911,0.8811327713218443,0.7763949606973135,-0.3000938506185644,1,2,0.1
0.6388245154345409,0.8210348855983551,0.6740982833695041,-0.11955199994975252,1,3,0.1
0.5696071669061424,0.8636161162625464,0.745832796268404,-0.052716934756281475,1,4,0.1
0.6132694400380218,0.7544057963614688,0.5691281055837818,-0.15356542631481362,2,0,10.0
0.6741606105028143,0.9409131899354707,0.8853176309945432,0.14857743641161592,2,1,10.0
0.6539866515662915,0.8916276316680202,0.7949998335539226,0.010881990987834156,2,2,0.1
0.7178495346502723,0.725793398904313,0.5267760578930752,0.12293218823821295,2,3,10.0
0.6997388176788796,0.7439005689422584,0.5533880564726158,-0.458946243293584,2,4,0.1
0.6782381157913323,0.7095955062350325,0.5035257824689521,-0.07689384925777287,3,0,0.1
0.5445942168023045,1.0872484767089274,1.182109250105883,-0.2850758243821887,3,1,10.0
0.6023366662355606,0.9635035315283496,0.9283390552676012,0.09456964991337036,3,2,10.0
0.6192710372588852,0.7569609174145417,0.5729898304930647,-0.14361685778728894,3,3,0.1
0.516845470680151,0.7099488651114053,0.5040273910729725,-0.3762768781153192,3,4,10.0
0.48836423619272434,0.9137818351966895,0.8349972423354298,-0.34304121388398623,4,0,0.1
0.641254014176918,0.9782338271322465,0.956941420545802,0.04888305430459172,4,1,0.1
0.7482262268587334,0.7748234340369807,0.6003513539328594,0.19343998836586973,4,2,0.1
0.6530779826752594,0.7711559126296311,0.5946814415836392,-0.2903297219721641,4,3,0.1
0.6755689377402126,0.7492790400487734,0.5614190798564114,-0.03209217951549115,4,4,10.0
0.6952971581591347,0.8187340619807846,0.6703254642475551,0.15717003336668478,5,0,0.1
0.6697254791549802,0.7357700695622452,0.5413575952636313,-0.20217587221487276,5,1,0.1
0.5804234304982187,1.0874343641416515,1.182513496316158,-0.9984165976185002,5,2,1.0
0.6771241843570109,0.9223461556555932,0.8507224308526518,0.10320569507825583,5,3,0.1
0.6095021696105669,0.8327084231788149,0.6934033180329482,-0.13937752156455363,5,4,0.1
0.6085323294246241,0.7450337313109157,0.5550752607910657,-0.051411924428349076,6,0,10.0
0.522047299258206,0.8753819246061407,0.7662935139271511,-0.39006196033214824,6,1,1.0
0.7141467956098949,0.829703765200752,0.6884083379883046,0.15950237422135127,6,2,1.0
0.6564635391896017,0.9243822995334762,0.8544826356907972,0.04628827805868374,6,3,100.0
0.48084169299715024,0.9612627658057544,0.9240261049245286,-0.5144074538183643,6,4,10.0
0.5922026841482838,0.6745230827526646,0.454981389166158,-0.30532494789710096,7,0,0.1
0.6729693098106916,0.7540543232469447,0.5685979224074077,-0.021913942679494758,7,1,0.1
0.6488487595996671,1.0713144905775684,1.1477147377214751,0.02861722282044532,7,2,0.1
0.6343857762385945,0.8258548219683908,0.6820361869684424,0.04404362467056322,7,3,10.0
0.719928395238614,0.7197439667530215,0.5180313776773746,-0.004787439768257684,7,4,0.1
0.6141409888614775,0.8169693208288831,0.6674388711756065,-0.09444501480779643,8,0,0.1
0.6806311909216656,0.7674439505139803,0.5889702171805046,-0.2422224382700242,8,1,10.0
0.6282879099765952,1.0135592809055836,1.0273024159098436,-0.03925572042171388,8,2,0.1
0.5285485725151181,0.9682697580404988,0.937546324335806,-0.10774587927501478,8,3,0.1
0.6285599732709656,0.7493872839642386,0.5615813013672984,-0.1497386760379915,8,4,0.1
0.6990996126238905,0.8558682144675954,0.73251040053595,-0.07231394433500093,9,0,0.1
0.6029395623512769,0.9650445426545139,0.93131096930726,-0.0024506423571819536,9,1,0.1
0.6836824839545568,0.7475975329600147,0.5589020712879003,-0.17449150127439972,9,2,0.1
0.633698947656768,0.8788777251788732,0.772426055815591,0.011056964689951987,9,3,0.1
0.6271112550535265,0.9348120879094994,0.8738736397017176,-0.661481529651657,9,4,0.1
